uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD00005E,PH072230002,2015-01-01,S,21.8949,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00005F,PH072230015,2015-01-01,S,14.6915,11.2459,7.9883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000060,PH072230016,2015-01-01,S,18.0568,0.5005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000061,PH112402032,2015-01-01,S,5.7322,3.2456,2.2688,4.482,1.9528,1.7573,3.425,1.5133,1.2078,6.6447,12.7733,0.9112
PNHZD000062,PH112402160,2015-01-01,S,25.8344,1.8175,0.0,20.2877,0.4392,0.0,12.1116,0.0367,0.0,0.0,0.0,0.0
PNHZD000063,PH112402068,2015-01-01,S,11.5754,7.1234,2.1008,0.0281,0.0412,0.809,0.0329,0.0386,0.6908,0.3915,0.4353,0.0252
PNHZD000064,PH112402041,2015-01-01,S,5.7589,1.6822,3.4558,4.7739,1.4203,3.0922,3.3963,1.1359,2.4936,4.1664,16.9259,7.0837
PNHZD000065,PH112402067,2015-01-01,S,0.8983,4.1868,8.0411,0.0,0.0,0.0,0.0,0.0,0.0,3.9579,27.5765,57.2318
PNHZD000066,PH112402165,2015-01-01,S,59.3885,8.0291,2.7343,44.5327,4.6296,2.6692,16.8523,3.8758,2.3437,0.0,0.0,0.0
PNHZD000067,PH112402033,2015-01-01,S,7.2694,4.6341,6.1955,0.0,0.0,0.0,0.0,0.0,0.0,1.6858,5.4824,2.3376
PNHZD000068,PH112402110,2015-01-01,S,7.3088,6.1308,3.9005,6.5978,5.8379,3.1996,5.3726,4.8255,2.2049,3.7705,4.8864,0.2582
PNHZD000069,PH112402038,2015-01-01,S,0.9119,4.0617,3.9219,0.0,0.0,0.0,0.0,0.0,0.0,7.4649,35.557,36.9524
PNHZD00006A,PH112402135,2015-01-01,S,15.9929,30.2702,31.5426,14.0783,6.9021,23.0298,10.1976,9.8278,12.267,0.0,0.0,0.0
PNHZD00006B,PH112402148,2015-01-01,S,38.2196,18.4966,0.0,35.8288,9.9849,0.0,21.5339,2.3987,0.0,0.0,0.0,0.0
PNHZD00006C,PH112402108,2015-01-01,S,1.8071,4.3223,3.8123,0.0,0.0,0.0,0.0,0.0,0.0,12.0119,46.1283,21.306
PNHZD00006D,PH112402028,2015-01-01,S,8.0441,1.7158,8.2931,6.5453,1.2441,7.5942,4.4845,0.9745,6.3716,2.9921,5.8855,4.2323
PNHZD00006E,PH112402092,2015-01-01,S,2.3309,5.2614,4.2221,0.0,0.0,0.0,0.0,0.0,0.0,11.0357,58.9096,23.6623
PNHZD00006F,PH112402162,2015-01-01,S,49.9174,0.1969,0.0,29.4292,0.0,0.0,10.1775,0.0,0.0,0.0,0.0,0.0
PNHZD000070,PH112402186,2015-01-01,S,28.8992,33.7235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000071,PH112402115,2015-01-01,S,3.4998,4.1953,19.5959,0.4076,0.5894,14.5901,0.4169,0.5025,13.7812,6.5415,23.8797,6.4494
PNHZD000072,PH112402193,2015-01-01,S,18.6532,13.7854,3.0784,0.7647,0.0253,0.0006,0.3834,0.014,0.0,0.1273,0.4626,0.0
PNHZD000073,PH112402030,2015-01-01,S,7.5756,5.1656,4.9994,6.5503,4.7846,4.3322,5.0718,3.927,3.0107,3.6839,7.2481,1.5825
PNHZD000074,PH112402178,2015-01-01,S,0.5842,4.2842,2.8384,0.0,0.0,0.0,0.0,0.0,0.0,3.6604,22.5624,70.0029
PNHZD000075,PH112402196,2015-01-01,S,17.4201,3.7573,0.0465,2.3378,0.0,0.0,1.1959,0.0,0.0,0.0,0.0,0.0
PNHZD000076,PH112402049,2015-01-01,S,8.2691,10.8776,4.9339,0.0,0.0,0.0,0.0,0.0,0.0,4.3532,3.336,0.0
PNHZD000077,PH112402073,2015-01-01,S,1.3826,4.9717,4.2624,0.0216,0.0103,0.0031,0.0178,0.0061,0.0031,9.3072,39.3385,32.0956
PNHZD000078,PH112402100,2015-01-01,S,19.7097,25.0095,5.8733,0.0,0.0,0.0,0.0,0.0,0.0,1.7207,3.0309,0.2551
PNHZD000079,PH112402081,2015-01-01,S,13.2056,7.6411,3.6059,3.5073,1.7935,2.7426,2.0092,0.7815,2.0358,0.4341,0.4893,0.0581
PNHZD00007A,PH112402040,2015-01-01,S,24.2773,36.6768,10.3392,27.4842,29.2671,4.1576,13.7446,19.0763,0.6381,0.0,0.0,0.0
PNHZD00007B,PH112402198,2015-01-01,S,18.3843,6.0537,0.8231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00007C,PH112402179,2015-01-01,S,47.5035,34.3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00007D,PH112402043,2015-01-01,S,23.6298,15.8636,1.1511,0.8606,0.4281,0.0,0.682,0.2608,0.0,0.0,0.0,0.0
PNHZD00007E,PH112402001,2015-01-01,S,2.2467,5.5116,3.9854,0.0907,0.0825,0.0251,0.0831,0.0748,0.0084,10.3428,25.0197,4.53
PNHZD00007F,PH112402137,2015-01-01,S,48.0813,22.9094,0.0,48.2124,14.8364,0.0,43.3552,3.8867,0.0,0.0,0.0,0.0
PNHZD000080,PH112402140,2015-01-01,S,22.1001,4.37,0.0,20.7724,1.6128,0.0,14.4763,0.7784,0.0,0.0,0.0,0.0
PNHZD000081,PH112402097,2015-01-01,S,9.4355,9.2829,22.8346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000082,PH112402053,2015-01-01,S,2.9,4.4606,12.7143,0.0,0.0,0.0,0.0,0.0,0.0,7.751,28.5317,21.8771
PNHZD000083,PH112402024,2015-01-01,S,6.2108,2.1276,2.7987,0.0,0.0,0.0,0.0,0.0,0.0,0.3732,3.8818,13.3523
PNHZD000084,PH112402120,2015-01-01,S,10.5043,3.3581,15.743,0.0,0.0,0.0,0.0,0.0,0.0,3.8982,12.0051,3.6884
PNHZD000085,PH112402055,2015-01-01,S,2.9521,3.3447,7.1158,3.1855,2.876,6.1604,2.2763,2.1573,5.1533,13.0479,28.474,4.8362
PNHZD000086,PH112402129,2015-01-01,S,10.338,5.4547,4.0734,5.2229,3.1861,0.895,4.2688,2.5078,0.4812,0.8512,0.3472,0.0
PNHZD000087,PH112402090,2015-01-01,S,4.1404,5.3033,14.3013,0.0,0.0,0.0,0.0,0.0,0.0,3.3659,14.8814,4.4127
PNHZD000088,PH112402190,2015-01-01,S,22.7125,50.3768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000089,PH112402072,2015-01-01,S,4.1178,7.1186,19.006,3.7779,7.8894,16.917,3.5017,8.9547,13.2941,2.7425,6.7824,1.5314
PNHZD00008A,PH112402047,2015-01-01,S,2.4865,6.6887,12.4658,0.0,0.0,0.0,0.0,0.0,0.0,8.9765,26.4097,8.4124
PNHZD00008B,PH112402133,2015-01-01,S,16.6031,3.0038,3.4521,0.0,0.0,0.0,0.0,0.0,0.0,0.7988,3.7594,2.6241
PNHZD00008C,PH112402039,2015-01-01,S,2.3677,6.7406,6.976,0.0,0.0,0.0,0.0,0.0,0.0,11.0404,37.8941,20.8815
PNHZD00008D,PH112402019,2015-01-01,S,8.4639,16.7046,5.4377,6.4449,9.9796,3.3842,5.9647,7.8132,2.2165,1.1564,1.3288,0.0
PNHZD00008E,PH112402164,2015-01-01,S,31.7118,0.5495,0.0,23.1736,0.0904,0.0,12.2365,0.0,0.0,0.0,0.0,0.0
PNHZD00008F,PH112402159,2015-01-01,S,23.4409,5.8304,0.0,20.6301,2.547,0.0,15.47,0.0,0.0,0.0,0.0,0.0
PNHZD000090,PH112402141,2015-01-01,S,2.9214,4.5827,43.1372,3.135,2.885,32.9661,2.9034,2.5895,30.4963,4.0744,3.2698,0.0
PNHZD000091,PH112402176,2015-01-01,S,19.6475,46.8274,3.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000092,PH112402143,2015-01-01,S,11.9775,6.9011,64.0658,15.9176,12.1285,35.5311,13.2299,4.3666,29.8254,0.5147,0.0454,0.0
PNHZD000093,PH112402010,2015-01-01,S,15.9865,13.3999,1.8867,0.0165,0.0,0.0,0.012,0.0,0.0,0.0144,0.0014,0.0
PNHZD000094,PH112402018,2015-01-01,S,9.1189,4.1896,0.8458,1.2349,0.4097,0.0,1.0137,0.209,0.0,2.7078,2.3162,0.0
PNHZD000095,PH112402116,2015-01-01,S,13.0383,29.2247,9.0914,10.6047,8.5776,3.6889,8.319,5.9737,2.1116,2.4359,4.0222,1.1292
PNHZD000096,PH112402107,2015-01-01,S,19.0806,7.4451,3.4119,0.0,0.0,0.0,0.0,0.0,0.0,0.724,1.4877,0.1652
PNHZD000097,PH112402144,2015-01-01,S,54.8274,8.9712,0.0,47.4759,3.4522,0.0,27.9848,0.7185,0.0,0.0,0.0,0.0
PNHZD000098,PH112402013,2015-01-01,S,5.9282,4.5802,2.9704,0.0,0.0,0.0,0.0,0.0,0.0,4.5591,8.5627,0.2728
PNHZD000099,PH112402036,2015-01-01,S,8.8721,38.1519,41.0386,13.022,40.0249,31.9331,17.0786,37.0818,19.0722,0.0,0.0,0.0
PNHZD00009A,PH112402060,2015-01-01,S,1.2454,4.533,3.7289,0.0,0.0,0.0,0.0,0.0,0.0,8.3379,38.213,35.073
PNHZD00009B,PH112402173,2015-01-01,S,5.4156,28.4313,35.7973,16.7649,38.3777,6.7939,13.0827,2.1241,4.0381,0.0,0.0,0.0
PNHZD00009C,PH112402138,2015-01-01,S,3.9357,6.4713,59.0459,4.3976,14.0811,36.9357,6.9511,14.0469,17.4519,0.6273,0.0,0.0
PNHZD00009D,PH112402077,2015-01-01,S,6.4634,8.79,22.8647,7.473,10.9481,19.1908,7.0401,12.5182,12.7366,10.17,21.7273,2.5178
PNHZD00009E,PH112402050,2015-01-01,S,2.6047,4.2365,3.2627,1.3114,1.5453,1.229,1.2219,1.5088,0.4459,8.8832,20.2381,3.3637
PNHZD00009F,PH112402174,2015-01-01,S,14.8775,5.1966,4.6237,0.0,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
PNHZD0000A0,PH112402088,2015-01-01,S,1.792,6.6212,16.8673,0.0,0.0,0.0,0.0,0.0,0.0,8.3582,41.0119,21.4929
PNHZD0000A1,PH112402105,2015-01-01,S,6.6362,3.9782,2.9348,0.1206,0.1242,0.5943,0.1085,0.1092,0.491,2.9574,8.4223,3.368
PNHZD0000A2,PH112402189,2015-01-01,S,1.5721,5.0265,3.4119,0.0,0.0,0.0,0.0,0.0,0.0,15.489,44.9783,14.6919
PNHZD0000A3,PH112402122,2015-01-01,S,7.758,3.0751,4.1741,0.0,0.0,0.0,0.0,0.0,0.0,1.3855,7.5243,6.102
