adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH050506028,Bgy. 36 - Kapantawan (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.112,PNHZD000038,1/1/2015,S,27.8451,32.7363,0.0924,26.197,15.9841,0.0893,15.2766,1.4076,0,0,0,0
PH050506064,Bgy. 42 - Rawis (Bgy. 65),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,1.5682,PNHZD000039,1/1/2015,S,28.6376,17.7798,3.1071,17.0112,10.25,2.7538,11.9796,5.4612,2.2693,0.0717,0.008,0
PH050506057,Bgy. 65 - Imalnod (Bgy. 57),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,5.7123,PNHZD00003A,1/1/2015,S,3.1458,5.1897,10.3261,0,0,0,0,0,0,5.8371,3.2216,0.1387
PH050506013,"Bgy. 17 - Rizal Street., Ilawod (Pob.)",PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.3135,PNHZD00003B,1/1/2015,S,28.0186,30.1362,4.0855,26.7386,23.4942,3.1958,23.5572,10.2493,2.2386,0,0,0
PH050506060,Bgy. 61 - Maslog (Bgy. 58),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,6.3433,PNHZD00003C,1/1/2015,S,6.1677,4.6259,0.0742,0,0,0,0,0,0,8.5456,8.6187,1.4838
PH050506008,Bgy. 12 - Tula-tula (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.1202,PNHZD00003D,1/1/2015,S,8.7871,36.5983,6.3399,11.0851,32.9965,4.069,15.3698,26.0884,2.4251,6.9699,17.5011,0
PH050506070,Bgy. 56 - Taysan (Bgy. 68),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,9.3534,PNHZD00003E,1/1/2015,S,4.4376,7.3159,4.7183,0.2115,0.7082,2.1837,0.2194,1.0483,1.6812,9.8108,10.785,2.5275
PH050506040,Bgy. 6 - Bañadero Pob. (Sagpon 3),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.3742,PNHZD00003F,1/1/2015,S,3.0628,3.2815,3.3082,2.1948,3.2369,2.6627,1.9038,3.8746,0.826,15.8325,27.4486,0
PH050506047,Bgy. 53 - Bonga (Bgy. 48),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,3.98,PNHZD000040,1/1/2015,S,9.1938,2.0608,1.6407,2.9,1.1688,1.0151,2.0256,0.7944,0.8266,0.2437,0.2309,11.7487
PH050506063,Bgy. 59 - Puro (Bgy. 63),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,2.3472,PNHZD000041,1/1/2015,S,5.7382,6.6893,1.4563,3.3148,4.3453,0.3849,3.4513,3.3023,0.1831,10.7477,15.6499,5.4083
PH050506029,Bgy. 30 - Pigcale (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0396,PNHZD000042,1/1/2015,S,24.1571,51.4859,0,25.0108,37.8647,0,24.3119,10.9714,0,0.1263,0,0
PH050506034,Bgy. 35 - Tinago (Pob.),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.0272,PNHZD000043,1/1/2015,S,27.4086,56.2032,0,40.7748,21.2353,0,17.9254,1.0059,0,0,0,0
PH050506074,Bgy. 58 - Buragwis,PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,0.7387,PNHZD000044,1/1/2015,S,2.9366,10.082,19.0673,3.1845,11.7537,15.5862,5.0719,11.6711,11.2482,10.2869,16.7327,13.9562
PH050506054,Bgy. 55 - Estanza (Bgy. 53),PH050506000,Legazpi City,PH050500000,Albay,PH050000000,Region V,4.6321,PNHZD000045,1/1/2015,S,2.4739,2.8708,0.7159,0.4379,0.7312,0.2022,0.41,0.5852,0.1389,18.767,22.4588,6.96
PH072230023,Tabok,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.3382,PNHZD000046,1/1/2015,S,8.7524,19.3805,9.0951,0,0,0,0,0,0,0.8988,0.6938,0.0052
PH072230001,Alang-alang,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.7962,PNHZD000047,1/1/2015,S,17.3911,27.9909,3.8883,0,0,0,0,0,0,0.3419,0.0928,0
PH072230014,Jagobiao,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.2166,PNHZD000048,1/1/2015,S,6.2414,7.4533,9.1363,0,0,0,0,0,0,1.13,0.6683,0
PH072230006,Cambaro,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.4199,PNHZD000049,1/1/2015,S,21.7246,4.8587,0,0,0,0,0,0,0,0,0,0
PH072230011,Cubacub,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.6751,PNHZD00004A,1/1/2015,S,7.1816,10.2922,9.695,0,0,0,0,0,0,4.0168,6.2039,1.4096
